Contact Id (18 digit),Opportunity Id (18 Digit),Lead Source (recent),Stage,[REDACTED],Recurring [REDACTED],Created Date,Close Date
003Dm000005HGOsIAO,006Dm000004S8SJIA0,Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HH5eIAG,006Dm000004S9L9IAK,Contact Sales,Development,294000,0,[REDACTED],[REDACTED]
003Dm000005HDxnIAG,006Dm000004S5w6IAC,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004S3TgIAK,Outbound,Development,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004S4tpIAC,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HC28IAG,006Dm000004S3NYIA0,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005H4D1IAK,006Dm000004RwlYIAS,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005H4QFIA0,006Dm000004Rx3SIAS,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005H4EOIA0,006Dm000004RwmqIAC,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005H4KvIAK,006Dm000004RwuzIAC,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005Gy5WIAS,006Dm000004RtyPIAS,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005Gy5qIAC,006Dm000004RtyoIAC,Contact Sales,Development,80000,0,[REDACTED],[REDACTED]
003Dm000005GzTHIA0,006Dm000004RuYrIAK,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GzPUIA0,006Dm000004RuTIIA0,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005H4CXIA0,006Dm000004RwkuIAC,Contact Sales,Qualified Opportunity,60000,0,[REDACTED],[REDACTED]
003Dm000005Gy7hIAC,006Dm000004Ru1TIAS,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GvfsIAC,006Dm000004RpmyIAC,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005Gvf4IAC,006Dm000004RplgIAC,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004Rrl4IAC,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GvdrIAC,006Dm000004RpjfIAC,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GslDIAS,006Dm000004Rme8IAC,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005Gsm9IAC,006Dm000004RmY5IAK,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005GsshIAC,006Dm000004RmjIIAS,Contact Sales,Qualified Opportunity,500000,0,[REDACTED],[REDACTED]
003Dm000005GtZBIA0,006Dm000004RnboIAC,Contact Sales,Referred to [REDACTED],50000,0,[REDACTED],[REDACTED]
003Dm000005GsmdIAC,006Dm000004Rmb4IAC,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005Gsn7IAC,006Dm000004RmeNIAS,Contact Sales,Development,35000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004Rn9aIAC,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005GslpIAC,006Dm000004RmXvIAK,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GsnvIAC,006Dm000004Rmf1IAC,Contact Sales,Development,35000,0,[REDACTED],[REDACTED]
003Dm000005GslEIAS,006Dm000004Rme9IAC,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GsngIAC,006Dm000004RmemIAC,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005GsmnIAC,006Dm000004Rmc2IAC,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004RnCAIA0,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005GnkrIAC,006Dm000004RiT6IAK,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005Goa8IAC,006Dm000004RjKCIA0,Contact Sales,Development,150000,0,[REDACTED],[REDACTED]
003Dm000005GogkIAC,006Dm000004RjjVIAS,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GnfmIAC,006Dm000004RiE1IAK,Contact Sales,Solution Design,70000,0,[REDACTED],[REDACTED]
003Dm000005GoiSIAS,006Dm000004RjlNIAS,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GoiQIAS,006Dm000004RjlLIAS,Nurture,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GniIIAS,006Dm000004RiXEIA0,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GngGIAS,006Dm000004RiFsIAK,Contact Sales,Proposal,57800,0,[REDACTED],[REDACTED]
003Dm000005GnivIAC,006Dm000004RiPdIAK,Contact Sales,Development,76000,0,[REDACTED],[REDACTED]
003Dm000005GosYIAS,006Dm000004RjxbIAC,Contact Sales,Solution Design,50000,0,[REDACTED],[REDACTED]
003Dm000005GowpIAC,006Dm000004Rk2bIAC,Contact Sales,Closed Lost,40000,0,[REDACTED],[REDACTED]
003Dm000005GmUgIAK,006Dm0000039yHoIAI,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GjJbIAK,006Dm0000039wQPIAY,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005GmmfIAC,006Dm0000039ye9IAA,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GnaaIAC,006Dm000004Ri8DIAS,Contact Sales,Closed Lost,80000,0,[REDACTED],[REDACTED]
003Dm000005GlhFIAS,006Dm0000039xLpIAI,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GmmBIAS,006Dm0000039yFjIAI,Contact Sales,Development,15000,0,[REDACTED],[REDACTED]
003Dm000005GjMMIA0,006Dm0000039wUCIAY,Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GlRHIA0,006Dm0000039wyMIAQ,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005GlWXIA0,006Dm0000039x58IAA,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GlK2IAK,006Dm0000039wyhIAA,Contact Sales,Qualified Opportunity,80000,0,[REDACTED],[REDACTED]
003Dm000005GgnZIAS,006Dm0000039tgoIAA,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GjHkIAK,006Dm0000039wOxIAI,Contact Sales,Proposal,53500,0,[REDACTED],[REDACTED]
003Dm000005GhRqIAK,006Dm0000039uWzIAI,Contact Sales,Development,65000,0,[REDACTED],[REDACTED]
003Dm000005GjInIAK,006Dm0000039wPbIAI,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GgesIAC,006Dm0000039tW5IAI,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GgRRIA0,006Dm0000039tFdIAI,Contact Sales,Development,30000,0,[REDACTED],[REDACTED]
003Dm000005Gge9IAC,006Dm0000039tUTIAY,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GgeEIAS,006Dm0000039tUxIAI,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GgVJIA0,006Dm0000039tFiIAI,Contact Sales,Development,30000,0,[REDACTED],[REDACTED]
003Dm000005GgVSIA0,006Dm0000039tFnIAI,Contact Sales,Rejected [REDACTED],,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039tNcIAI,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005GYz1IAG,006Dm0000039rFqIAI,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005GWskIAG,006Dm0000039pzxIAA,Contact Sales,Proposal,79200,0,[REDACTED],[REDACTED]
003Dm000005GYT4IAO,006Dm0000039qrzIAA,Contact Sales,Development,85000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039rPCIAY,Contact Sales,Closed Lost,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HIp2IAG,006Dm0000039rPCIAY,Contact Sales,Closed Lost,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GY4cIAG,[REDACTED],Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039qOTIAY,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005GQH7IAO,006Dm0000039mfYIAQ,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GWmXIAW,006Dm0000039pwjIAA,Contact Sales,Development,1,0,[REDACTED],[REDACTED]
003Dm000005GQL4IAO,006Dm0000039mjkIAA,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005GWmIIAW,006Dm0000039pwZIAQ,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005GQKuIAO,006Dm0000039mjVIAQ,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
0031R00002OwWZyQAN,006Dm0000039mjaIAA,Outbound,Closed Lost,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GQLYIA4,006Dm0000039mk4IAA,Contact Sales,Referred to [REDACTED],50000,0,[REDACTED],[REDACTED]
003Dm000005GUJiIAO,006Dm0000039oKUIAY,Contact Sales,Closed Won,[REDACTED],[REDACTED],[REDACTED],[REDACTED]
003Dm000005GWifIAG,006Dm0000039punIAA,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005GQFBIA4,006Dm0000039meaIAA,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005GJZlIAO,006Dm0000039hytIAA,Contact Sales,Rejected [REDACTED],50000,0,[REDACTED],[REDACTED]
003Dm000005GJo8IAG,006Dm0000039iFQIAY,Contact Sales,Proposal,50000,0,[REDACTED],[REDACTED]
003Dm000005GJWcIAO,006Dm0000039hvGIAQ,Contact Sales,Proposal,[REDACTED],0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039kR0IAI,Contact Sales,Solution Design,40000,0,[REDACTED],[REDACTED]
003Dm000005GHprIAG,006Dm0000039gaMIAQ,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GIP3IAO,006Dm0000039hHBIAY,Contact Sales,Solution Design,30000,0,[REDACTED],[REDACTED]
003Dm000005GJTzIAO,006Dm0000039hteIAA,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
0031R00002pnnrYQAQ,006Dm0000039gBZIAY,Contact Sales,Proposal,240000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039gSrIAI,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GFhEIAW,006Dm0000039eqcIAA,Contact Sales,Development,25200,0,[REDACTED],[REDACTED]
003Dm000005GHYGIA4,006Dm0000039gCPIAY,Contact Sales,Proposal,27500,0,[REDACTED],[REDACTED]
003Dm000005GFgkIAG,006Dm0000039eqXIAQ,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GFk2IAG,006Dm0000039etlIAA,[REDACTED],Development,150000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039etlIAA,[REDACTED],Development,150000,0,[REDACTED],[REDACTED]
003Dm000005GFoOIAW,[REDACTED],Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039ew2IAA,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GHoJIAW,006Dm0000039ftTIAQ,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GHDFIA4,006Dm0000039fqJIAQ,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005GIlEIAW,006Dm0000039hNdIAI,Contact Sales,Referred to [REDACTED],50000,0,[REDACTED],[REDACTED]
003Dm000005GJSnIAO,006Dm0000039htUIAQ,Contact Sales,Qualified Opportunity,1,0,[REDACTED],[REDACTED]
003Dm000005GIDNIA4,006Dm0000039h0MIAQ,Contact Sales,Solution Design,40000,0,[REDACTED],[REDACTED]
003Dm000005GCD5IAO,[REDACTED],Contact Sales,Closed Lost,40000,0,[REDACTED],[REDACTED]
0031R00002h87rnQAA,006Dm0000039cFjIAI,Contact Sales,Development,85000,0,[REDACTED],[REDACTED]
003Dm000005GF6FIAW,006Dm0000039ek0IAA,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GEA1IAO,006Dm0000039e4EIAQ,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005GFCsIAO,006Dm0000039ekaIAA,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GBsMIAW,006Dm0000039bgAIAQ,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005GCu3IAG,006Dm0000039cxbIAA,Contact Sales,Closed Lost,44999.5,0,[REDACTED],[REDACTED]
003Dm000005Fw3oIAC,006Dm0000039ZJZIA2,Contact Sales,Closed Lost,50000,0,[REDACTED],[REDACTED]
003Dm000005FvFeIAK,006Dm0000039YN0IAM,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005FwIXIA0,006Dm0000039ZbrIAE,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FwhzIAC,006Dm0000039ZnVIAU,Contact Sales,Development,82500,0,[REDACTED],[REDACTED]
003Dm000005FxEPIA0,006Dm0000039afbIAA,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FvfkIAC,006Dm0000039YyGIAU,Contact Sales,Development,80000,0,[REDACTED],[REDACTED]
003Dm000005Fw1sIAC,006Dm0000039ZHrIAM,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FrSfIAK,006Dm0000039W6rIAE,Contact Sales,Solution Design,35000,0,[REDACTED],[REDACTED]
003Dm000005FqvSIAS,006Dm0000039VQCIA2,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FqvTIAS,006Dm0000039VQDIA2,Contact Sales,Rejected [REDACTED],40000,0,[REDACTED],[REDACTED]
003Dm000005FsdLIAS,006Dm0000039XJ3IAM,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FsfbIAC,006Dm0000039XNtIAM,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005Ft9SIAS,006Dm0000039XwkIAE,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FqrqIAC,006Dm0000039VPxIAM,Contact Sales,Solution Design,45000,0,[REDACTED],[REDACTED]
003Dm000005FsDAIA0,006Dm0000039WjoIAE,Contact Sales,Solution Design,50000,0,[REDACTED],[REDACTED]
003Dm000005FfxRIAS,006Dm0000039SdDIAU,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005Fex4IAC,006Dm0000039RW5IAM,Contact Sales,Proposal,58000,0,[REDACTED],[REDACTED]
003Dm000005HN2JIAW,006Dm0000039RW5IAM,Contact Sales,Proposal,58000,0,[REDACTED],[REDACTED]
003Dm000005Ff3vIAC,006Dm0000039RdaIAE,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FewpIAC,006Dm0000039RVgIAM,Contact Sales,Development,50400,0,[REDACTED],[REDACTED]
003Dm000005FfUKIA0,006Dm0000039SA6IAM,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FahwIAC,006Dm0000039OtVIAU,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005Fb0yIAC,006Dm0000039PLyIAM,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039PNaIAM,Contact Sales,Solution Design,40000,0,[REDACTED],[REDACTED]
003Dm000005Fb7zIAC,006Dm0000039PUgIAM,Contact Sales,Solution Design,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039PqeIAE,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039QOAIA2,Contact Sales,Development,64000,0,[REDACTED],[REDACTED]
003Dm000005Fe5xIAC,006Dm0000039R6HIAU,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FdLUIA0,006Dm0000039Q1kIAE,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005Fb2RIAS,006Dm0000039PNbIAM,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005FdVQIA0,006Dm0000039QDXIA2,Contact Sales,Development,250000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039NKAIA2,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005FZQmIAO,006Dm0000039NiJIAU,Contact Sales,Closed Lost,1,0,[REDACTED],[REDACTED]
003Dm000005FZEUIA4,006Dm0000039NO4IAM,Contact Sales,Development,150000,0,[REDACTED],[REDACTED]
003Dm000005FXtEIAW,006Dm0000039Lr1IAE,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FZF7IAO,006Dm0000039NYvIAM,Contact Sales,Legal Negotiation,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FXmnIAG,006Dm0000039Li5IAE,Contact Sales,Closed Won,[REDACTED],[REDACTED],[REDACTED],[REDACTED]
003Dm000005FXoxIAG,006Dm0000039LktIAE,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FYcnIAG,006Dm0000039MmXIAU,Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FXnHIAW,006Dm0000039LiYIAU,Contact Sales,Development,30000,0,[REDACTED],[REDACTED]
003Dm000005FQHuIAO,006Dm0000039IcwIAE,Contact Sales,Qualified Opportunity,1,0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039JYlIAM,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FQsIIAW,006Dm0000039JIdIAM,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FSaiIAG,006Dm0000039KihIAE,[REDACTED],Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FQF5IAO,006Dm0000039IZiIAM,Contact Sales,Closed Lost,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FQO8IAO,006Dm0000039Id5IAE,Contact Sales,Legal Negotiation,51280.5,0,[REDACTED],[REDACTED]
003Dm000005FQH6IAO,006Dm0000039IcNIAU,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
0031R00002L8umhQAB,006Dm0000039JWaIAM,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FQLwIAO,006Dm0000039IdzIAE,Contact Sales,Development,1,0,[REDACTED],[REDACTED]
003Dm000005FQFjIAO,006Dm0000039IbAIAU,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005FQYrIAO,006Dm0000039IsLIAU,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FNfkIAG,006Dm0000039GtSIAU,Industry Event - Virtual,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FO1fIAG,006Dm0000039HQkIAM,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
[REDACTED],006Dm0000039ISNIA2,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FOeeIAG,006Dm0000039I8rIAE,Contact Sales,Proposal,60000,0,[REDACTED],[REDACTED]
003Dm000005FLJDIA4,006Dm0000039G49IAE,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FOeZIAW,006Dm0000039I8hIAE,Contact Sales,Development,54000,0,[REDACTED],[REDACTED]
003Dm000005FPAkIAO,006Dm0000039IWtIAM,Contact Sales,Solution Design,35000,0,[REDACTED],[REDACTED]
003Dm000005FKwpIAG,006Dm0000039FlHIAU,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005FLIFIA4,006Dm0000039G3GIAU,Contact Sales,Rejected [REDACTED],1,0,[REDACTED],[REDACTED]
003Dm000005FNXHIA4,006Dm0000039GqcIAE,Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005FOGuIAO,006Dm0000039HlYIAU,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm0000034lY1IAI,006Dm0000039ATvIAM,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005FGbmIAG,006Dm0000039DqDIAU,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm0000034k71IAA,006Dm00000399WfIAI,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm0000034tB8IAI,006Dm0000039CcyIAE,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm0000034k6DIAQ,006Dm00000399TMIAY,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm0000034kgBIAQ,006Dm00000399yUIAQ,Contact Sales,Proposal,[REDACTED],0,[REDACTED],[REDACTED]
003Dm0000034tELIAY,006Dm0000039D8QIAU,[REDACTED],Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm0000034tVtIAI,006Dm0000039DIYIA2,Contact Sales,Qualified Opportunity,45000,0,[REDACTED],[REDACTED]
003Dm0000034nAzIAI,006Dm0000039Cq1IAE,Contact Sales,Development,30000,0,[REDACTED],[REDACTED]
003Dm0000034lzZIAQ,006Dm0000039B5YIAU,Contact Sales,Solution Design,35000,0,[REDACTED],[REDACTED]
003Dm0000034iNEIAY,006Dm00000397zwIAA,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm0000034foiIAA,[REDACTED],Contact Sales,Proposal,264000,0,[REDACTED],[REDACTED]
003Dm0000034gu6IAA,006Dm000003968XIAQ,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm0000034eTJIAY,006Dm00000391jvIAA,Contact Sales,Development,35000,0,[REDACTED],[REDACTED]
003Dm0000034g5RIAQ,006Dm00000394pKIAQ,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
